air conditioner worker_100...Round 1 ...
Constraint 1: x rln y <-> y rln x	(('hot coils', 'connects', 'expansion valve'), True)	(('expansion valve', 'connects', 'hot coils'), True)
Constraint 1: x rln y <-> y rln x	(('hot coils', 'connects', 'compressor'), True)	(('compressor', 'connects', 'hot coils'), True)
Constraint 1: x rln y <-> y rln x	(('expansion valve', 'connects', 'cold coils'), True)	(('cold coils', 'connects', 'expansion valve'), True)
Constraint 1: x rln y <-> y rln x	(('compressor', 'connects', 'cold coils'), True)	(('cold coils', 'connects', 'compressor'), True)
Round 2 ...
air conditioner worker_101...Round 1 ...
Constraint 1: x rln y <-> y rln x	(('hot coils', 'connects', 'compressor'), True)	(('compressor', 'connects', 'hot coils'), True)
Constraint 2: x rln y -> NOT(y rln x)	(('hot coils', 'requires', 'compressor'), True)	(('compressor', 'requires', 'hot coils'), False)
Constraint 3: x rln y <-> y inverse(rln) x	(('hot coils', 'requires', 'compressor'), True)	(('compressor', 'required by', 'hot coils'), True)
Constraint 1: x rln y <-> y rln x	(('hot coils', 'connects', 'expansion valve'), True)	(('expansion valve', 'connects', 'hot coils'), True)
Constraint 1: x rln y <-> y rln x	(('compressor', 'connects', 'cold coils'), True)	(('cold coils', 'connects', 'compressor'), True)
Constraint 2: x rln y -> NOT(y rln x)	(('cold coils', 'requires', 'compressor'), True)	(('compressor', 'requires', 'cold coils'), False)
Constraint 3: x rln y <-> y inverse(rln) x	(('cold coils', 'requires', 'compressor'), True)	(('compressor', 'required by', 'cold coils'), True)
Constraint 1: x rln y <-> y rln x	(('cold coils', 'connects', 'expansion valve'), True)	(('expansion valve', 'connects', 'cold coils'), True)
Round 2 ...
Constraint 3: x rln y <-> y inverse(rln) x	(('compressor', 'requires', 'hot coils'), False)	(('hot coils', 'required by', 'compressor'), False)
Constraint 3: x rln y <-> y inverse(rln) x	(('compressor', 'requires', 'cold coils'), False)	(('cold coils', 'required by', 'compressor'), False)
Round 3 ...
air conditioner worker_102...Round 1 ...
Constraint 2: x rln y -> NOT(y rln x)	(('compressor', 'requires', 'condenser'), True)	(('condenser', 'requires', 'compressor'), False)
Constraint 3: x rln y <-> y inverse(rln) x	(('compressor', 'requires', 'condenser'), True)	(('condenser', 'required by', 'compressor'), True)
Constraint 1: x rln y <-> y rln x	(('compressor', 'connects', 'condenser'), True)	(('condenser', 'connects', 'compressor'), True)
Constraint 2: x rln y -> NOT(y rln x)	(('compressor', 'requires', 'evaporator'), True)	(('evaporator', 'requires', 'compressor'), False)
Constraint 3: x rln y <-> y inverse(rln) x	(('compressor', 'requires', 'evaporator'), True)	(('evaporator', 'required by', 'compressor'), True)
Constraint 1: x rln y <-> y rln x	(('compressor', 'connects', 'evaporator'), True)	(('evaporator', 'connects', 'compressor'), True)
Constraint 2: x rln y -> NOT(y rln x)	(('condenser', 'requires', 'expansion valve'), True)	(('expansion valve', 'requires', 'condenser'), False)
Constraint 3: x rln y <-> y inverse(rln) x	(('condenser', 'requires', 'expansion valve'), True)	(('expansion valve', 'required by', 'condenser'), True)
Constraint 1: x rln y <-> y rln x	(('condenser', 'connects', 'expansion valve'), True)	(('expansion valve', 'connects', 'condenser'), True)
Constraint 2: x rln y -> NOT(y rln x)	(('evaporator', 'requires', 'expansion valve'), True)	(('expansion valve', 'requires', 'evaporator'), False)
